timestamp_ns,timestamp,datetime,bandwidth_mbps,rtt_ms
1770928303466835433,1770928303.466811,04:31:43.466,65.0,33.7
1770928303566695500,1770928303.566671,04:31:43.566,65.0,33.7
1770928303667134529,1770928303.667107,04:31:43.667,65.0,33.7
1770928303767210135,1770928303.767174,04:31:43.767,65.0,33.7
1770928303867075736,1770928303.867051,04:31:43.867,65.0,33.7
1770928303966667131,1770928303.966642,04:31:43.966,65.0,33.7
1770928304066504108,1770928304.066478,04:31:44.066,65.0,33.7
1770928304167352438,1770928304.167327,04:31:44.167,65.0,33.7
1770928304267212617,1770928304.26719,04:31:44.267,65.0,33.7
1770928304367174235,1770928304.367148,04:31:44.367,65.0,33.7
1770928304466677766,1770928304.466652,04:31:44.466,65.0,33.7
1770928304567338190,1770928304.567315,04:31:44.567,65.0,33.7
1770928304666683374,1770928304.666657,04:31:44.666,65.0,33.7
1770928304766673590,1770928304.766646,04:31:44.766,65.0,33.7
1770928304866874392,1770928304.866853,04:31:44.866,65.0,1.82
1770928304966563109,1770928304.96654,04:31:44.966,65.0,1.82
1770928305066371980,1770928305.066343,04:31:45.066,65.0,1.82
1770928305166398513,1770928305.166373,04:31:45.166,65.0,1.82
1770928305266819130,1770928305.266788,04:31:45.266,65.0,1.82
1770928305367209613,1770928305.36718,04:31:45.367,65.0,1.82
1770928305467155180,1770928305.467128,04:31:45.467,65.0,1.82
1770928305567369654,1770928305.567344,04:31:45.567,65.0,1.82
1770928305666879869,1770928305.666854,04:31:45.666,65.0,1.82
1770928305767206564,1770928305.767164,04:31:45.767,65.0,1.82
1770928305866730694,1770928305.866704,04:31:45.866,65.0,1.82
1770928305966952238,1770928305.966928,04:31:45.966,65.0,1.82
1770928306066532367,1770928306.066506,04:31:46.066,65.0,1.82
1770928306166726537,1770928306.166698,04:31:46.166,65.0,1.82
1770928306267065273,1770928306.26704,04:31:46.267,46.8,1.82
1770928306367050736,1770928306.367022,04:31:46.367,46.8,1.82
1770928306466335701,1770928306.466309,04:31:46.466,46.8,1.82
1770928306566850929,1770928306.566823,04:31:46.566,46.8,1.82
1770928306667069284,1770928306.667042,04:31:46.667,46.8,1.82
1770928306766853239,1770928306.766824,04:31:46.766,46.8,1.82
1770928306866563231,1770928306.866538,04:31:46.866,46.8,3.27
1770928306966777939,1770928306.966751,04:31:46.966,46.8,3.27
